rank,name,bundesland,bezirk,population_2024,website
212,Loosdorf,Niederösterreich,Melk,3890,http://www.loosdorf.gv.at
213,Waizenkirchen,Oberösterreich,Grieskirchen,3881,http://www.waizenkirchen.at
214,Piesendorf,Salzburg,Zell am See,3863,https://www.piesendorf.salzburg.at
215,Pischelsdorf am Kulm,Steiermark,Weiz,3862,http://www.pischelsdorf-kulm.gv.at
216,Lambach,Oberösterreich,Wels-Land,3856,https://www.lambach.at
217,Steindorf am Ossiacher See,Kärnten,Feldkirchen,3850,http://www.steindorf.gv.at
218,Grünburg,Oberösterreich,Kirchdorf/Krems,3840,http://www.gruenburg.at
219,Kirchberg am Wagram,Niederösterreich,Tulln,3830,https://www.kirchberg-am-wagram.at
220,Gföhl,Niederösterreich,Krems (Land),3814,http://www.gfoehl.gv.at
221,Sankt Stefan im Rosental,Steiermark,Südoststeiermark,3788,http://www.rosental.at
222,Obdach,Steiermark,Murtal,3783,https://www.obdach.gv.at
223,Ilz,Steiermark,Hartberg-Fürstenfeld,3778,http://www.ilz.gv.at
224,Hausmannstätten,Steiermark,Graz-Umgebung,3777,http://www.hausmannstaetten.gv.at
225,Dobl-Zwaring,Steiermark,Graz-Umgebung,3767,http://www.dobl-zwaring.gv.at
226,Heidenreichstein,Niederösterreich,Gmünd,3735,http://www.heidenreichstein.gv.at
227,Kittsee,Burgenland,Neusiedl am See,3727,http://www.kittsee.at
228,Haidershofen,Niederösterreich,Amstetten,3710,http://www.haidershofen.gv.at
229,Strobl,Salzburg,Salzburg-Umgebung,3690,http://www.gemeinde-strobl.at
230,Gramatneusiedl,Niederösterreich,Bruck/Leitha,3677,http://www.gramatneusiedl.gv.at
231,Sonntagberg,Niederösterreich,Amstetten,3674,http://www.sonntagberg.gv.at
232,Lannach,Steiermark,Deutschlandsberg,3668,http://www.lannach.gv.at
233,Zams,Tirol,Landeck,3642,http://www.zams.gv.at
234,Molln,Oberösterreich,Kirchdorf/Krems,3640,http://www.molln.at
235,Seefeld in Tirol,Tirol,Innsbruck-Land,3639,http://www.seefeld-tirol.at
236,Neufeld an der Leitha,Burgenland,Eisenstadt-Umgebung,3621,https://www.neufeld.at
237,Ardagger,Niederösterreich,Amstetten,3620,http://www.ardagger.gv.at
238,Münster,Tirol,Kufstein,3604,https://www.muenster.at
239,Enzersdorf an der Fischa,Niederösterreich,Bruck/Leitha,3601,http://www.enzersdorf-fischa.gv.at
240,Großpetersdorf,Burgenland,Oberwart,3598,http://www.grosspetersdorf.at
241,Pyhra,Niederösterreich,St. Pölten (Land),3593,http://www.pyhra.gv.at
242,Güssing,Burgenland,Güssing,3590,http://www.guessing.co.at
243,Sankt Michael im Lungau,Salzburg,Tamsweg,3573,https://www.sankt-michael.at
244,Matrei am Brenner,Tirol,Innsbruck-Land,3556,http://www.matrei-brenner.tirol.gv.at
245,Leutschach an der Weinstraße,Steiermark,Leibnitz,3536,http://www.leutschach-weinstrasse.gv.at
246,Kronstorf,Oberösterreich,Linz-Land,3528,http://www.kronstorf.at
247,Bad Fischau-Brunn,Niederösterreich,Wiener Neustadt (Land),3525,https://www.bad-fischau-brunn.gv.at
248,Eben am Achensee,Tirol,Schwaz,3518,https://www.eben.at
249,Eggenburg,Niederösterreich,Horn,3508,http://www.eggenburg.gv.at
250,Mureck,Steiermark,Südoststeiermark,3508,http://www.mureck.gv.at
251,Behamberg,Niederösterreich,Amstetten,3465,http://www.behamberg.gv.at
252,Atzenbrugg,Niederösterreich,Tulln,3465,http://www.atzenbrugg.gv.at
253,Straden,Steiermark,Südoststeiermark,3450,http://www.straden.gv.at
254,Dietach,Oberösterreich,Steyr-Land,3432,http://www.dietach.at
255,Zwischenwasser,Vorarlberg,Feldkirch,3423,http://www.zwischenwasser.at
256,Traisen,Niederösterreich,Lilienfeld,3415,http://www.traisen.at
257,Ampflwang im Hausruckwald,Oberösterreich,Vöcklabruck,3412,http://www.ampflwang.at
258,Ostermiething,Oberösterreich,Braunau/Inn,3407,http://www.ostermiething.at
259,Hochburg-Ach,Oberösterreich,Braunau/Inn,3405,http://www.hochburg-ach.at
260,Griffen,Kärnten,Völkermarkt,3393,http://www.griffen.gv.at
261,Nußdorf-Debant,Tirol,Lienz,3387,http://www.nussdorf-debant.at
262,Seitenstetten,Niederösterreich,Amstetten,3379,http://www.seitenstetten.gv.at
263,Ziersdorf,Niederösterreich,Hollabrunn,3373,http://www.ziersdorf.gv.at
264,Ybbsitz,Niederösterreich,Amstetten,3350,http://www.ybbsitz.gv.at
265,Kötschach-Mauthen,Kärnten,Hermagor,3341,http://www.koetschach-mauthen.gv.at
266,Oberpullendorf,Burgenland,Oberpullendorf,3327,http://www.oberpullendorf.gv.at
267,Tulbing,Niederösterreich,Tulln,3315,https://www.tulbing.at
268,Hornstein,Burgenland,Eisenstadt-Umgebung,3312,http://www.hornstein.at
269,Trieben,Steiermark,Liezen,3306,https://www.trieben.net
270,Kematen in Tirol,Tirol,Innsbruck-Land,3304,https://www.kematen.at
271,Aigen-Schlägl,Oberösterreich,Rohrbach,3267,http://www.aigen-schlaegl.at
272,Alberschwende,Vorarlberg,Bregenz,3265,http://www.alberschwende.at
273,Krenglbach,Oberösterreich,Wels-Land,3254,http://www.krenglbach.at
274,Siegendorf,Burgenland,Eisenstadt-Umgebung,3247,http://www.siegendorf.gv.at
275,Neumarkt im Mühlkreis,Oberösterreich,Freistadt,3241,https://www.neumarkt-muehlkreis.ooe.gv.at
276,Oberneukirchen,Oberösterreich,Urfahr-Umgebung,3229,http://www.oberneukirchen.at
277,Bad Radkersburg,Steiermark,Südoststeiermark,3227,https://www.bad-radkersburg.gv.at
278,St. Ulrich bei Steyr,Oberösterreich,Steyr-Land,3215,https://www.st-ulrich.at
279,Frauental an der Laßnitz,Steiermark,Deutschlandsberg,3213,https://www.gde-frauental.at
280,Göllersdorf,Niederösterreich,Hollabrunn,3212,http://www.goellersdorf.at
281,Stallhofen,Steiermark,Voitsberg,3211,http://www.stallhofen.gv.at
282,Semriach,Steiermark,Graz-Umgebung,3202,http://www.semriach.at
283,Gröbming,Steiermark,Liezen,3202,http://www.groebming.at
284,Gamlitz,Steiermark,Leibnitz,3195,http://www.gamlitz.at
285,Kirchbach-Zerlach,Steiermark,Südoststeiermark,3189,https://www.kirchbach-zerlach.at
286,Deutschkreutz,Burgenland,Oberpullendorf,3166,http://www.deutschkreutz.at
287,Arzl im Pitztal,Tirol,Imst,3160,http://www.arzl-pitztal.at
288,Kirchberg an der Pielach,Niederösterreich,St. Pölten (Land),3142,https://www.kirchberg-pielach.at
289,Markt Piesting,Niederösterreich,Wiener Neustadt (Land),3139,http://www.piesting.at
290,Ebenfurth,Niederösterreich,Wiener Neustadt (Land),3134,https://www.ebenfurth.at
291,Wallern an der Trattnach,Oberösterreich,Grieskirchen,3123,http://www.wallern.at
292,Gampern,Oberösterreich,Vöcklabruck,3119,http://www.gampern.at
293,Sölden,Tirol,Imst,3110,https://www.soelden.tirol.gv.at
294,Oberperfuss,Tirol,Innsbruck-Land,3106,http://www.gemeinde-oberperfuss.at
295,Pinggau,Steiermark,Hartberg-Fürstenfeld,3094,https://www.pinggau.gv.at
296,Rauris,Salzburg,Zell am See,3086,http://www.rauris.co.at
297,Werfen,Salzburg,St. Johann/Pongau,3080,http://www.werfen.at
298,Schlüßlberg,Oberösterreich,Grieskirchen,3073,http://www.schluesslberg.ooe.gv.at
299,Bruckneudorf,Burgenland,Neusiedl am See,3069,http://www.bruckneudorf.eu
300,Neuhofen an der Ybbs,Niederösterreich,Amstetten,3069,http://www.neuhofen-ybbs.at
301,Grafenstein,Kärnten,Klagenfurt-Land,3063,http://www.grafenstein.gv.at
302,Laxenburg,Niederösterreich,Mödling,3060,https://www.laxenburg.at
303,St. Leonhard am Forst,Niederösterreich,Melk,3053,http://www.st-leonhard-forst.gv.at
304,Steinbrunn,Burgenland,Eisenstadt-Umgebung,3028,http://www.steinbrunn.at
305,Hagenberg im Mühlkreis,Oberösterreich,Freistadt,3024,http://www.hagenberg.at
306,Leopoldsdorf im Marchfelde,Niederösterreich,Gänserndorf,3018,https://www.leopoldsdorf.gv.at
307,Munderfing,Oberösterreich,Braunau/Inn,3006,http://www.munderfing.at
308,Kaindorf,Steiermark,Hartberg-Fürstenfeld,3003,http://www.kaindorf.gv.at
